Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile
B28 9LW,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9LX,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9LY,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9LZ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9NA,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9NB,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9ND,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NE,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NF,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NH,Live,E01009033,Birmingham 103F E01009033,2925,1
